"lat","lon","period","origin","mean_survival"
-31.3258358261166,30.2038802939694,"current","med",54.9166666666667
-31.3258358261166,30.2038802939694,"current","red",8.66666666666667
-31.3258358261166,30.2038802939694,"current","singapore",90.7708333333333
-31.3258358261166,30.2038802939694,"future","med",53.4583333333333
-31.3258358261166,30.2038802939694,"future","red",6.58333333333333
-31.3258358261166,30.2038802939694,"future","singapore",86.1966666666667
-31.3256183619789,30.6538802939694,"current","med",55.1666666666667
-31.3256183619789,30.6538802939694,"current","red",8.41666666666667
-31.3256183619789,30.6538802939694,"current","singapore",90.4375
-31.3256183619789,30.6538802939694,"future","med",57.14
-31.3256183619789,30.6538802939694,"future","red",10.47
-31.3256183619789,30.6538802939694,"future","singapore",77.7
-30.9414767537559,153.503880293969,"current","med",53
-30.9414767537559,153.503880293969,"current","red",16.25
-30.9414767537559,153.503880293969,"current","singapore",56.5
-30.9414767537559,153.503880293969,"future","med",56.2916666666667
-30.9414767537559,153.503880293969,"future","red",12.8541666666667
-30.9414767537559,153.503880293969,"future","singapore",71.6694444444445
-30.9413339447349,153.053880293969,"future","med",55.4083333333333
-30.9413339447349,153.053880293969,"future","red",12.8458333333333
-30.9413339447349,153.053880293969,"future","singapore",71.7833333333333
-30.9340712814109,30.6538802939694,"current","med",55.0416666666667
-30.9340712814109,30.6538802939694,"current","red",8.54166666666667
-30.9340712814109,30.6538802939694,"current","singapore",90.6041666666667
-30.9340712814109,30.6538802939694,"future","med",56.22
-30.9340712814109,30.6538802939694,"future","red",7.65
-30.9340712814109,30.6538802939694,"future","singapore",87.93
-30.5498822563309,153.503880293969,"current","med",53
-30.5498822563309,153.503880293969,"current","red",16.25
-30.5498822563309,153.503880293969,"current","singapore",56.5
-30.5498822563309,153.503880293969,"future","med",56.5416666666667
-30.5498822563309,153.503880293969,"future","red",12.4375
-30.5498822563309,153.503880293969,"future","singapore",70.8291666666667
-30.5425239650878,30.6538802939694,"current","med",55.0416666666667
-30.5425239650878,30.6538802939694,"current","red",8.54166666666667
-30.5425239650878,30.6538802939694,"current","singapore",90.6041666666667
-30.5425239650878,30.6538802939694,"future","med",56.22
-30.5425239650878,30.6538802939694,"future","red",7.65
-30.5425239650878,30.6538802939694,"future","singapore",87.93
-30.5423083445311,31.1038802939694,"current","med",55.1666666666667
-30.5423083445311,31.1038802939694,"current","red",8.41666666666667
-30.5423083445311,31.1038802939694,"current","singapore",90.4375
-30.5423083445311,31.1038802939694,"future","med",56.29
-30.5423083445311,31.1038802939694,"future","red",7.42
-30.5423083445311,31.1038802939694,"future","singapore",86.55
-30.1582870356497,153.503880293969,"current","med",55.6666666666667
-30.1582870356497,153.503880293969,"current","red",17.8333333333333
-30.1582870356497,153.503880293969,"current","singapore",61
-30.1582870356497,153.503880293969,"future","med",56.5416666666667
-30.1582870356497,153.503880293969,"future","red",12.4375
-30.1582870356497,153.503880293969,"future","singapore",70.8291666666667
-30.1507621843245,31.1038802939694,"current","med",55.0416666666667
-30.1507621843245,31.1038802939694,"current","red",8.54166666666667
-30.1507621843245,31.1038802939694,"current","singapore",90.6041666666667
-30.1507621843245,31.1038802939694,"future","med",55.86
-30.1507621843245,31.1038802939694,"future","red",7.29
-30.1507621843245,31.1038802939694,"future","singapore",86.57
-30.1505471229026,31.5538802939694,"current","med",57.1666666666667
-30.1505471229026,31.5538802939694,"current","red",8.91666666666667
